"asi","county","state","X","Y","year","index"
14.375,"Lander","Nevada",-117.775,39.127,1989,0
20.375,"Lander","Nevada",-117.582,39.152,1989,1
24,"Lander","Nevada",-116.741,39.569,1989,2
20.125,"Lander","Nevada",-116.869,40.285,1989,3
13.8125,"Lander","Nevada",-117.027,39.721,1989,4
12.375,"Lander","Nevada",-117.485,39.959,1989,5
23.3125,"Lander","Nevada",-117.355,39.676,1989,6
12.4375,"Lander","Nevada",-116.921,39.384,1989,8
17.4375,"Lander","Nevada",-116.646,40.343,1989,9
3.625,"Lander","Nevada",-116.685,39.658,1989,10
27.625,"Lander","Nevada",-117.369,40.188,1989,11
23.125,"Lander","Nevada",-117.172,39.589,1989,12
17.625,"Lander","Nevada",-116.79,39.868,1989,13
15.625,"Lander","Nevada",-117.142,39.809,1989,14
10.5625,"Lander","Nevada",-116.862,39.403,1989,15
18.8125,"Lander","Nevada",-116.64,40.539,1989,16
14.125,"Lander","Nevada",-116.954,39.983,1989,17
18.8125,"Lander","Nevada",-117.293,39.294,1989,18
16.9375,"Lander","Nevada",-116.778,39.838,1989,19
13.875,"Lander","Nevada",-116.812,40.906,1989,20
13.6875,"Lander","Nevada",-116.803,40.397,1989,21
10.0625,"Lander","Nevada",-117.264,40.412,1989,24
2.375,"Lander","Nevada",-117.332,40.368,1989,25
18.25,"Lander","Nevada",-117.425,39.783,1989,26
11.75,"Lander","Nevada",-117.61,39.262,1989,27
9.625,"Lander","Nevada",-116.743,40.742,1989,28
21.625,"Lander","Nevada",-116.802,39.404,1989,29
19.5,"Lander","Nevada",-116.823,40.212,1989,30
9.1875,"Lander","Nevada",-117.313,40.364,1989,32
19.8125,"Lander","Nevada",-117.13,39.461,1989,33
20.5,"Lander","Nevada",-116.712,39.167,1989,34
16.6875,"Lander","Nevada",-116.775,40.191,1989,35
13.8125,"Lander","Nevada",-117.1,40.27,1989,36
8.25,"Lander","Nevada",-116.915,39.262,1989,38
17.5625,"Lander","Nevada",-117.083,39.932,1989,39
15.1875,"Lander","Nevada",-116.872,40.833,1989,40
13.75,"Lander","Nevada",-117.507,39.346,1989,41
11.375,"Lander","Nevada",-117.21,39.865,1989,43
12.9375,"Lander","Nevada",-117.126,39.939,1989,44
10.75,"Lander","Nevada",-117.219,39.704,1989,45
18.375,"Lander","Nevada",-116.978,39.381,1989,46
14.4375,"Lander","Nevada",-117.116,40.589,1989,47
14.75,"Lander","Nevada",-117.409,40.059,1989,48
