"asi_2001_4","x","y","STATE","pop2001","COUNTY","index","FEATURE1","publicLand"
1.4375,-117.817,37.337,"California",18117,"Inyo",2092,"National Wilderness Area","MultipleUs"
4.8125,-117.909,37.387,"California",18117,"Inyo",2130,"National Wilderness Area","MultipleUs"
6.1875,-117.918,37.47,"California",13224,"Mono",1725,"Other Federal Land","MultipleUs"
5.8125,-117.922,36.892,"California",18117,"Inyo",2079,"National Wilderness Area","MultipleUs"
6.6875,-117.95,36.95,"California",18117,"Inyo",2113,"National Wilderness Area","MultipleUs"
13.125,-120.062,40.087,"California",33548,"Lassen",6011,"Other Federal Land","MultipleUs"
8.5625,-120.017,40.033,"California",33548,"Lassen",6027,"Other Federal Land","MultipleUs"
5.1875,-120.071,40.096,"California",33548,"Lassen",6049,"Other Federal Land","MultipleUs"
13.875,-120.37,40.763,"California",33548,"Lassen",6029,"NO Federal Land","MultipleUs"
20.8125,-120.392,40.715,"California",33548,"Lassen",6040,"Other Federal Land","MultipleUs"
15.625,-120.024,40.417,"California",33548,"Lassen",6017,"Other Federal Land","MultipleUs"
17.3125,-119.999,40.395,"California",33548,"Lassen",6018,"Other Federal Land","MultipleUs"
3.5,-120.168,40.595,"California",33548,"Lassen",6019,"Other Federal Land","MultipleUs"
18.5,-120.153,40.33,"California",33548,"Lassen",6020,"Other Federal Land","MultipleUs"
5.875,-120.163,40.322,"California",33548,"Lassen",6026,"Other Federal Land","MultipleUs"
9.6875,-120.272,40.893,"California",33548,"Lassen",6030,"NO Federal Land","MultipleUs"
10.875,-120.268,40.88,"California",33548,"Lassen",6031,"NO Federal Land","MultipleUs"
21.25,-120.039,40.84,"California",33548,"Lassen",6034,"Other Federal Land","MultipleUs"
21.8125,-120.033,40.867,"California",33548,"Lassen",6042,"Other Federal Land","MultipleUs"
19.5625,-120.009,40.485,"California",33548,"Lassen",6048,"Other Federal Land","MultipleUs"
12.5625,-120.086,40.352,"California",33548,"Lassen",6051,"Other Federal Land","MultipleUs"
14.5625,-120.278,40.85,"California",33548,"Lassen",6061,"NO Federal Land","MultipleUs"
20.9375,-120.1,40.43,"California",33548,"Lassen",6062,"Other Federal Land","MultipleUs"
10.125,-120.11,40.762,"California",33548,"Lassen",6063,"NO Federal Land","MultipleUs"
23.3125,-120.147,40.382,"California",33548,"Lassen",6065,"Other Federal Land","MultipleUs"
22.125,-120.092,40.993,"California",33548,"Lassen",6028,"Other Federal Land","MultipleUs"
29.625,-120.037,41.055,"California",33548,"Lassen",6038,"Other Federal Land","MultipleUs"
17.75,-120.033,41.048,"California",33548,"Lassen",6066,"Other Federal Land","MultipleUs"
18.6875,-119.184,38.268,"California",13224,"Mono",1713,"Other Federal Land","MultipleUs"
21.3125,-119.163,38.237,"California",13224,"Mono",1714,"Other Federal Land","MultipleUs"
23.125,-119.187,38.276,"California",13224,"Mono",1728,"Other Federal Land","MultipleUs"
18.75,-118.907,38.215,"California",13224,"Mono",1718,"Other Federal Land","MultipleUs"
13.875,-118.875,38.202,"California",13224,"Mono",1730,"Other Federal Land","MultipleUs"
21.25,-119.038,38.284,"California",13224,"Mono",1732,"Other Federal Land","MultipleUs"
16.4375,-119.098,38.315,"California",13224,"Mono",1735,"Other Federal Land","MultipleUs"
6.25,-118.332,37.52,"California",13224,"Mono",1740,"Other Federal Land","MultipleUs"
7.1875,-118.347,37.598,"California",13224,"Mono",1715,"Other Federal Land","MultipleUs"
11.25,-118.323,37.027,"California",18117,"Inyo",2111,"Other Federal Land","MultipleUs"
18.9375,-118.274,37.056,"California",18117,"Inyo",2148,"NO Federal Land","MultipleUs"
NA,-118.349,37.227,"California",18117,"Inyo",2134,"NO Federal Land","MultipleUs"
7.1875,-118.229,37.168,"California",18117,"Inyo",2063,"Other Federal Land","MultipleUs"
3.875,-118.399,37.459,"California",18117,"Inyo",2096,"NO Federal Land","MultipleUs"
6.25,-118.414,37.45,"California",18117,"Inyo",2114,"Other Federal Land","MultipleUs"
8.875,-118.215,37.193,"California",18117,"Inyo",2060,"Other Federal Land","MultipleUs"
2.3125,-117.884,37.291,"California",18117,"Inyo",2076,"National Wilderness Area","MultipleUs"
1.4375,-117.817,37.337,"California",18117,"Inyo",2092,"National Wilderness Area","MultipleUs"
0.4375,-117.99,37.518,"California",13224,"Mono",1726,"National Wilderness Area","MultipleUs"
6.1875,-117.918,37.47,"California",13224,"Mono",1725,"Other Federal Land","MultipleUs"
4.8125,-117.909,37.387,"California",18117,"Inyo",2130,"National Wilderness Area","MultipleUs"
